Date,Open,High,Low,Close,Adj Close,Volume,Day
"Aug 11, 2022",384.05,391.33,384.05,390.03,390.03,"567,900",1988
"Aug 10, 2022",385.78,388.79,381.11,381.48,381.48,"596,400",1987
"Aug 9, 2022",380.4,380.64,372.22,375.78,375.78,"641,700",1986
"Aug 8, 2022",378.3,385.34,377.92,379.39,379.39,"751,700",1985
"Aug 5, 2022",370,378.86,368.8,377.8,377.8,"926,000",1984
"Aug 4, 2022",376.63,376.63,370.44,372.35,372.35,"886,000",1983
"Aug 3, 2022",380.6,384.16,360.58,372.9,372.9,"2,534,400",1982
"Aug 2, 2022",395.74,399.37,387.25,392.9,392.9,"611,500",1981
"Aug 1, 2022",388.9,396.17,385.91,394.28,394.28,"921,800",1980
"Jul 29, 2022",397.47,398.36,386.01,388.91,388.91,"1,171,300",1979
"Jul 28, 2022",395.35,404.46,392.27,400.76,400.76,"533,200",1978
"Jul 27, 2022",386.92,397.56,384.19,395.44,395.44,"610,300",1977
"Jul 26, 2022",391.22,392.84,380.81,384.79,384.79,"997,600",1976
"Jul 25, 2022",408.91,408.91,397.77,401.26,401.26,"452,600",1975
"Jul 22, 2022",412.91,416.98,403.7,406.4,406.4,"540,900",1974
"Jul 21, 2022",406.11,411.64,401.54,411.27,411.27,"578,600",1973
"Jul 20, 2022",402.36,412.5,402.1,408.36,408.36,"851,100",1972
"Jul 19, 2022",399.81,405.35,396.46,402.36,402.36,"525,300",1971
"Jul 18, 2022",401.88,406.48,392.57,393.59,393.59,"519,700",1970
"Jul 15, 2022",389.59,399,387.56,397.24,397.24,"844,100",1969
"Jul 14, 2022",378.09,386.61,375.09,385.58,385.58,"822,500",1968
"Jul 13, 2022",373.7,385.77,370.54,382.74,382.74,"616,100",1967
"Jul 12, 2022",385.35,389.35,375.19,377.06,377.06,"580,900",1966
"Jul 11, 2022",381.29,387.45,378.02,383.27,383.27,"545,000",1965
"Jul 8, 2022",383.88,385.34,376.79,381.44,381.44,"443,400",1964
"Jul 7, 2022",383.08,387.98,380.76,383.64,383.64,"979,500",1963
"Jul 6, 2022",377.43,386.81,374.58,381.76,381.76,"706,800",1962
"Jul 5, 2022",375.88,378.49,368.64,378.47,378.47,"922,400",1961
"Jul 1, 2022",381.92,385.37,377.25,382.85,382.85,"584,000",1960
"Jun 30, 2022",383.05,392.94,378.36,385.48,385.48,"874,100",1959
"Jun 29, 2022",392.69,393.4,384.18,391.64,391.64,"813,100",1958
"Jun 28, 2022",400.74,405,385.8,385.9,385.9,"705,500",1957
"Jun 27, 2022",410.48,411.58,399.33,400.49,400.49,"590,300",1956
"Jun 24, 2022",400.56,411.25,400.18,410.54,410.54,"772,300",1955
"Jun 23, 2022",399.49,401.64,391.03,395.91,395.91,"650,500",1954
"Jun 22, 2022",396.99,403,394.65,396.22,396.22,"622,300",1953
"Jun 21, 2022",402.96,406,397.83,401.26,401.26,"708,300",1952
"Jun 17, 2022",390.5,400.45,389.01,395.83,395.83,"1,412,600",1951
"Jun 16, 2022",397.08,397.08,387.28,390.47,390.47,"811,500",1950
"Jun 15, 2022",399.71,410.15,397.15,405.61,405.61,"964,100",1949
"Jun 14, 2022",395.29,399.05,389.88,392.67,392.67,"749,600",1948
"Jun 13, 2022",398,400,385.95,391.77,391.77,"1,014,100",1947
"Jun 10, 2022",413.38,417.85,407.69,407.72,407.72,"745,000",1946
"Jun 9, 2022",427.85,429.48,422.05,422.35,422.35,"913,500",1945
"Jun 8, 2022",420.68,428.87,415.53,425.39,425.39,"741,500",1944
"Jun 7, 2022",409.82,422.87,404.01,421.02,421.02,"865,300",1943
"Jun 6, 2022",409.99,415.94,402.52,413.73,413.73,"686,900",1942
"Jun 3, 2022",405.89,414.45,401.56,404.41,404.41,"1,275,200",1941
"Jun 2, 2022",408.22,417.28,404.86,416.54,416.54,"799,100",1940
"Jun 1, 2022",423.68,426.74,403.34,407.32,407.32,"1,111,600",1939
"May 31, 2022",421.5,426.83,409.49,423.1,423.1,"1,837,800",1938
